"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"123",4.6257165641321e-90,1.02574449312964,0.719,0.573,9.27178628114638e-86,"3","Kirrel3"
"124",3.31154268502373e-88,1.15166345108063,0.345,0.172,6.63765615786157e-84,"3","Itpr1"
"125",2.49440716466021e-87,1.04903241015649,0.375,0.196,4.99978972084493e-83,"3","Mef2c"
"126",1.97410296487744e-86,1.15087396573266,0.418,0.237,3.95689198280034e-82,"3","Chrm2"
"127",4.32829574194154e-85,1.26042922765473,0.312,0.152,8.67563598514762e-81,"3","Akap13"
"128",1.30746276114644e-76,1.16666863958764,0.278,0.131,2.62067835844193e-72,"3","Glra2"
"129",2.07482508508788e-74,1.34704263480269,0.202,0.082,4.15877940055015e-70,"3","Tmtc2"
"130",3.43244403478564e-69,1.69502924810507,0.153,0.056,6.87999082332434e-65,"3","Tll1"
"131",5.95913510257688e-67,1.2329178296693,0.264,0.13,1.19444903996051e-62,"3","Pde3a"
"132",2.13855751140188e-62,2.17563383703408,0.079,0.02,4.28652467585393e-58,"3","Zan"
"133",3.92948003251961e-61,2.39828421584235,0.065,0.014,7.87624977718232e-57,"3","Drd3"
"134",1.20540449022734e-60,1.17173855920393,0.173,0.07,2.41611276021167e-56,"3","Megf11"
"135",5.95951773743362e-52,1.07643732101735,0.238,0.123,1.19452573529119e-47,"3","Fam184b"
"136",6.75702162990763e-50,1.02088745875374,0.233,0.12,1.35437741549868e-45,"3","Lypd1"
"137",1.29684811864246e-49,1.2842081036273,0.163,0.072,2.59940236900694e-45,"3","Mgat5b"
"138",1.58444183469954e-48,1.72203990923434,0.094,0.031,3.17585521347176e-44,"3","Parm1"
"139",6.85683755952162e-45,1.41262610902988,0.113,0.043,1.37438452043051e-40,"3","Adra2a"
"140",6.6630252100009e-42,1.19624526994327,0.184,0.093,1.33553677309258e-37,"3","Fras1"
"141",5.05075843470562e-41,2.38634238162968,0.039,0.008,1.0123740206524e-36,"3","Homer3"
"142",2.06636242597262e-40,1.0255041006914,0.195,0.101,4.14181684661952e-36,"3","Shroom4"
"143",1.31027645060974e-38,1.44853714323702,0.098,0.038,2.62631811760217e-34,"3","Cables1"
"144",1.35529175620019e-38,1.10424989612804,0.164,0.08,2.71654679612767e-34,"3","Cdh4"
"145",4.24500284310511e-37,1.50518010637114,0.097,0.038,8.50868369871988e-33,"3","Mdga1"
"146",7.17297376188138e-37,2.05823814188344,0.055,0.015,1.4377508608315e-32,"3","Dgkk"
"147",2.16128390871391e-35,2.19940200296703,0.038,0.008,4.33207746662616e-31,"3","Nkx2-1"
"148",5.23801749769353e-35,2.30785937169194,0.037,0.008,1.04990822723769e-30,"3","RP24-230H23.1"
"149",9.75423693655199e-33,1.0413269367889,0.173,0.093,1.95513925156248e-28,"3","Gpr176"
"150",1.16923224408445e-31,1.74351260472943,0.059,0.019,2.34360911004288e-27,"3","Igfbp5"
"151",0,2.25072395998679,0.673,0.182,0,"4","Stac2"
"152",0,1.63836186633287,0.892,0.474,0,"4","Prkca"
"153",0,1.99715531818742,0.561,0.176,0,"4","Stac"
"154",0,1.07245792295625,0.962,0.825,0,"4","Grin2b"
"155",4.49592019542462e-285,1.20525850140682,0.924,0.674,9.01162243970911e-281,"4","Etl4"
"156",9.07918171520748e-283,1.5729498462227,0.715,0.323,1.81983118299619e-278,"4","Sox5"
"157",7.68665471247787e-281,1.99069673769556,0.609,0.246,1.54071307056906e-276,"4","Rapgef5"
"158",1.3792510593866e-258,1.33850278654486,0.815,0.48,2.76457082343449e-254,"4","2010300C02Rik"
"159",2.60520815351915e-257,1.12698327004758,0.917,0.679,5.22187922291379e-253,"4","Fat3"
"160",2.70322740786219e-251,1.64760079952631,0.656,0.304,5.41834901631897e-247,"4","Cdh7"
"161",2.2106123498277e-245,1.88571009054926,0.437,0.134,4.43095139399464e-241,"4","Hunk"
"162",2.13287000239446e-238,1.90707985280527,0.452,0.148,4.27512463279945e-234,"4","Tmem163"
"163",2.44911658285016e-225,2.15651572949902,0.364,0.103,4.90900927866486e-221,"4","Trpc6"
"164",4.14905453942462e-224,1.38019516432585,0.758,0.423,8.31636491882271e-220,"4","Pld5"
"165",8.86039150958703e-221,1.21987654436755,0.814,0.496,1.77597687418162e-216,"4","Rbms3"
"166",1.57226780010417e-218,1.5244019643934,0.577,0.238,3.1514535785288e-214,"4","Whrn"
"167",4.12163130766648e-217,1.26092619344166,0.781,0.466,8.26139779308669e-213,"4","Specc1"
"168",5.28647405951515e-214,1.52800027856914,0.549,0.22,1.05962086048922e-209,"4","Mob3b"
"169",6.07437029260427e-196,1.06453355262285,0.862,0.628,1.2175467814496e-191,"4","Focad"
"170",4.25757803838226e-193,1.15023379422979,0.78,0.499,8.53388942013341e-189,"4","Luzp2"
"171",4.10052055887624e-190,1.00046551927977,0.888,0.686,8.21908340821153e-186,"4","Kctd16"
"172",3.70623043988476e-179,1.45901210639654,0.53,0.229,7.42876829370502e-175,"4","Brinp2"
"173",5.77119143784791e-173,1.22588410279117,0.707,0.42,1.15677761180224e-168,"4","Wipf3"
"174",2.29147403748264e-172,1.24106287131715,0.686,0.389,4.5930305607302e-168,"4","Ptpn5"
"175",7.57032825594129e-163,1.73830198965117,0.339,0.112,1.51739659562087e-158,"4","Ssh1"
"176",6.93730554604356e-161,1.60152420918181,0.446,0.184,1.39051352364897e-156,"4","Lmo4"
"177",5.38959091857843e-160,1.95523021009249,0.261,0.071,1.08028960371986e-155,"4","Met"
"178",1.15626143118388e-151,1.16054501462695,0.69,0.41,2.31761041266497e-147,"4","Lrrfip1"
"179",8.09906564260221e-149,1.32499375071783,0.515,0.238,1.62337671740319e-144,"4","Trpc3"
"180",2.54267378164729e-145,1.25375639607443,0.628,0.357,5.09653532793383e-141,"4","Ptn"
