"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.3399996046181e-33,1.06633956393398,0.352,0.176,2.42660528400292e-29,"2","Whrn"
3.39552904354213e-32,1.15731157163601,0.329,0.164,6.14896354495045e-28,"2","Acvr1"
1.07757158163195e-30,1.15668404512763,0.319,0.16,1.9513743771773e-26,"2","Fstl1"
5.18566463189695e-30,2.39290499139255,0.151,0.051,9.39072008190218e-26,"2","Agmo"
5.96599210286597e-30,1.77072284447619,0.159,0.054,1.080381509908e-25,"2","Tgfb2"
1.37385051629212e-28,1.07626314581795,0.349,0.187,2.4879058999534e-24,"2","Sorl1"
1.90207135903128e-28,1.74026904793448,0.146,0.049,3.44446102406975e-24,"2","9330158H04Rik"
3.39393228091719e-28,3.16258289986957,0.047,0.005,6.14607196751293e-24,"2","Sostdc1"
1.34064466208888e-26,1.92008121666568,0.1,0.027,2.42777341857675e-22,"2","Rab38"
0,1.54615582635675,0.972,0.534,0,"3","Nxph1"
1.91106106954617e-251,2.06297505165801,0.739,0.312,3.46074049084117e-247,"3","Car10"
1.49073141573046e-172,1.49497760318462,0.832,0.607,2.69956552074629e-168,"3","Cntnap5a"
2.27234879912878e-152,1.4792796364637,0.737,0.427,4.11499644034231e-148,"3","Cntnap5b"
4.81520860662612e-148,3.28606777118163,0.244,0.035,8.71986126573925e-144,"3","Pou6f2"
2.49452546955534e-143,1.55395554859197,0.632,0.3,4.51733617281777e-139,"3","Fstl5"
1.8058364453437e-141,1.0379758171916,0.892,0.691,3.2701892188729e-137,"3","Etl4"
1.71123689114662e-137,1.38177077884067,0.713,0.407,3.09887888617741e-133,"3","Sgcz"
7.2068842640439e-129,1.00057082262851,0.862,0.621,1.30509467137571e-124,"3","Nrg1"
6.76541739217018e-127,1.84571596334851,0.56,0.272,1.2251494355481e-122,"3","Hs6st3"
1.78787814546063e-118,1.0542616607009,0.804,0.562,3.23766853361465e-114,"3","Tenm1"
2.72195644550602e-115,1.44308448628241,0.588,0.29,4.92919092716685e-111,"3","Brinp3"
5.01679968214809e-113,1.33023648704914,0.61,0.305,9.08492254440198e-109,"3","Gfra1"
1.63211989252816e-105,1.68258781284959,0.414,0.155,2.95560591337925e-101,"3","Itpr1"
3.18798874611582e-98,1.21447330923565,0.647,0.384,5.77312882034115e-94,"3","Nrp1"
9.79596560491743e-98,1.21300878405479,0.628,0.351,1.7739514113945e-93,"3","Hs3st4"
5.4407369577234e-97,1.6419127887169,0.36,0.126,9.85263055674131e-93,"3","Grin3a"
5.92133720011774e-83,1.42647228835123,0.428,0.189,1.07229495356932e-78,"3","Maml3"
4.5010960346609e-81,2.25071883713794,0.196,0.044,8.15103480916742e-77,"3","Megf11"
6.66060873810259e-79,1.11897629415489,0.567,0.316,1.206169636383e-74,"3","Plcxd3"
1.64503673930607e-67,2.06807482431517,0.196,0.053,2.97899703120936e-63,"3","Mgat5b"
8.03037531688205e-67,1.08898381407815,0.545,0.322,1.45422066613417e-62,"3","Psd3"
1.01490996214778e-60,1.16974904514074,0.439,0.23,1.83790045045342e-56,"3","Gabra1"
