"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.16793764335752e-148,1.55246960131188,0.298,0.114,1.47473149074438e-143,"2","Igfbpl1"
1.31885843235397e-140,1.61964841414829,0.313,0.129,2.71341933872506e-136,"2","Scn9a"
2.3185054827916e-139,1.4032739708332,0.319,0.131,4.77009318029544e-135,"2","Matn2"
8.66252605310991e-139,1.700109758665,0.229,0.077,1.78222811016683e-134,"2","Ndnf"
1.11101521299876e-136,1.07656100072474,0.49,0.26,2.28580269922365e-132,"2","Hectd2"
2.22861300222803e-136,2.57015178776449,0.097,0.016,4.58514839078395e-132,"2","Sall3"
6.17588580493225e-132,1.31467872147148,0.359,0.162,1.27062674550676e-127,"2","Nxn"
3.76706853481483e-127,1.31620817553907,0.361,0.167,7.75036680352803e-123,"2","Ildr2"
4.48747573872501e-125,1.76632877394671,0.183,0.056,9.23253258485284e-121,"2","Spata13"
1.15053018300235e-118,1.11539401345279,0.398,0.197,2.36710079850903e-114,"2","Gabrg1"
3.04445058428534e-112,1.17847216258099,0.354,0.169,6.26365263210866e-108,"2","Bicc1"
3.52280773750355e-111,1.0302602936635,0.458,0.253,7.2478246391398e-107,"2","Gda"
1.54266259568128e-109,1.74329833423944,0.182,0.06,3.17387402435466e-105,"2","Pnoc"
1.20398288257378e-87,1.22933725598015,0.265,0.122,2.47707438260729e-83,"2","Cacng5"
1.17566977741883e-85,1.29565514236378,0.266,0.124,2.41882300006149e-81,"2","D930015E06Rik"
5.38215800562065e-83,1.39359968507555,0.218,0.093,1.10732518807639e-78,"2","Nbl1"
1.15208058329568e-81,1.04020335993148,0.347,0.187,2.37029059207254e-77,"2","Tiam1"
1.14742413533906e-75,1.00463752943182,0.284,0.141,2.36071041604658e-71,"2","Sv2c"
1.57387844342712e-74,1.09794650294347,0.312,0.166,3.23809750950696e-70,"2","Necab2"
4.86195804032098e-74,2.86765370300583,0.043,0.006,1.00029924721564e-69,"2","Gm27239"
1.73214362635194e-72,1.4240271864015,0.169,0.067,3.56371229685648e-68,"2","Zic3"
4.99841427792942e-72,2.02222644208784,0.084,0.022,1.0283737535412e-67,"2","Eva1c"
2.32631463375524e-70,1.62266929102555,0.131,0.046,4.78615972748804e-66,"2","Npffr1"
4.20761085265038e-70,2.47204170231464,0.053,0.01,8.65673856824289e-66,"2","Col27a1"
8.3980451108348e-67,1.01988737862916,0.273,0.141,1.72781380110315e-62,"2","Clic4"
6.10881850831332e-66,2.50213633957079,0.053,0.01,1.25682831990038e-61,"2","Ttr"
8.33498809775418e-65,1.88203003280937,0.083,0.023,1.71484045123195e-60,"2","Gpr83"
8.9353696572984e-65,1.44590612105346,0.146,0.057,1.83836295329257e-60,"2","Gnb4"
1.61553819572011e-62,1.0623293161756,0.288,0.158,3.32380828387456e-58,"2","Ar"
4.63487921126101e-57,2.31638042614026,0.054,0.012,9.53580048924839e-53,"2","Ccdc109b"
5.49985711684144e-57,2.05645287386325,0.071,0.019,1.13154060321896e-52,"2","Adgra3"
0,2.52770743935771,0.853,0.401,0,"3","Il1rapl2"
0,1.53082210265567,0.884,0.485,0,"3","Cntn5"
0,1.13435842697934,0.923,0.557,0,"3","Meis2"
0,1.00954921577666,0.986,0.872,0,"3","Lrp1b"
5.16326357075952e-304,1.22119866928688,0.829,0.468,1.06228984704806e-299,"3","Zfp804a"
3.59655442885298e-236,1.2985990900029,0.786,0.524,7.39955108192212e-232,"3","Cntn3"
4.29255464015828e-235,2.4199577556653,0.293,0.08,8.83150191666164e-231,"3","Ndst4"
1.77743707192757e-217,1.4000276052419,0.609,0.301,3.65689903178378e-213,"3","Pbx3"
1.48591266700412e-202,1.10694190823093,0.735,0.434,3.05711672109427e-198,"3","Cntnap5b"
3.41079514200836e-197,1.48459487015,0.464,0.197,7.01736992516799e-193,"3","Nell1"
9.9635765694904e-197,1.6325885597904,0.578,0.318,2.04990624340695e-192,"3","Foxp2"
3.23117285756072e-196,1.36369532473642,0.563,0.271,6.64781503714543e-192,"3","Cntn6"
1.95872409329022e-194,2.61448826690304,0.244,0.066,4.0298789495353e-190,"3","Stk31"
4.79152081366786e-194,1.32273385440417,0.536,0.247,9.85807492204025e-190,"3","Plcxd3"
1.67141970598531e-188,1.3511236785153,0.503,0.226,3.43877890309418e-184,"3","Vat1l"
7.18634152029401e-175,1.28993217596232,0.452,0.193,1.47851790438529e-170,"3","Slit2"
2.29085056686112e-171,1.33874094572053,0.436,0.184,4.71319595626007e-167,"3","Gfra1"
1.40994702176999e-166,1.00442363772712,0.719,0.448,2.90082500258958e-162,"3","Egfem1"
1.79425849660138e-160,2.58680678705958,0.138,0.026,3.69150743090768e-156,"3","Gdpd2"
1.09667400478142e-155,1.48426329991502,0.516,0.273,2.2562970974373e-151,"3","Zfp804b"
5.44492593354767e-139,1.0040071499135,0.547,0.286,1.1202390615681e-134,"3","Ankfn1"
